Time,Charge of the electric vehicle (PV System) 
,kWh
05.04. 15:00,0
05.04. 16:00,0
05.04. 17:00,0
05.04. 18:00,52.7024
05.04. 19:00,73.371
05.04. 20:00,73.339
05.04. 21:00,66.648
05.04. 22:00,0
05.04. 23:00,0
06.04. 00:00,0
06.04. 01:00,0
06.04. 02:00,0
06.04. 03:00,0
06.04. 04:00,0
06.04. 05:00,0
06.04. 06:00,56.464
06.04. 07:00,93.995
06.04. 08:00,44.003
06.04. 09:00,77.009
06.04. 10:00,64.477
06.04. 11:00,10.236
06.04. 12:00,0
06.04. 13:00,0
06.04. 14:00,0
06.04. 15:00,0
06.04. 16:00,0
06.04. 17:00,0
06.04. 18:00,60.508
06.04. 19:00,73.367
06.04. 20:00,73.39
06.04. 21:00,38.819
06.04. 22:00,10.065
06.04. 23:00,8.2281
07.04. 00:00,7.7132
07.04. 01:00,7.5971
07.04. 02:00,7.5769
07.04. 03:00,7.5593
07.04. 04:00,7.5524
07.04. 05:00,8.0634
07.04. 06:00,34.425
07.04. 07:00,73.404
07.04. 08:00,73.405
07.04. 09:00,61.252
07.04. 10:00,18.402
07.04. 11:00,0
07.04. 12:00,0
07.04. 13:00,0
07.04. 14:00,0
07.04. 15:00,0
07.04. 16:00,0
07.04. 17:00,0
07.04. 18:00,0
07.04. 19:00,0
07.04. 20:00,0
07.04. 21:00,0
07.04. 22:00,0
07.04. 23:00,0
08.04. 00:00,0
08.04. 01:00,0
08.04. 02:00,0
08.04. 03:00,0
08.04. 04:00,0
08.04. 05:00,0
08.04. 06:00,0
08.04. 07:00,0
08.04. 08:00,0
08.04. 09:00,0
08.04. 10:00,0
08.04. 11:00,0
08.04. 12:00,0
08.04. 13:00,0
08.04. 14:00,0
08.04. 15:00,0
08.04. 16:00,0
08.04. 17:00,0
08.04. 18:00,0
08.04. 19:00,0
08.04. 20:00,0
08.04. 21:00,0
08.04. 22:00,0
08.04. 23:00,0
09.04. 00:00,0
09.04. 01:00,0
09.04. 02:00,0
09.04. 03:00,0
09.04. 04:00,0
09.04. 05:00,0
09.04. 06:00,0
09.04. 07:00,0
09.04. 08:00,0
09.04. 09:00,33.005
09.04. 10:00,33.011
09.04. 11:00,10.236
09.04. 12:00,0
09.04. 13:00,0
09.04. 14:00,0
09.04. 15:00,0
09.04. 16:00,0
09.04. 17:00,0
09.04. 18:00,0
09.04. 19:00,73.33
09.04. 20:00,73.402
09.04. 21:00,54.664
09.04. 22:00,0
09.04. 23:00,0
10.04. 00:00,0
10.04. 01:00,0
10.04. 02:00,0
10.04. 03:00,0
10.04. 04:00,0
10.04. 05:00,0
10.04. 06:00,16.9766
10.04. 07:00,81.8375
10.04. 08:00,44.003
10.04. 09:00,99.01
10.04. 10:00,79.14
10.04. 11:00,32.237
10.04. 12:00,22.002
10.04. 13:00,22.003
10.04. 14:00,0
10.04. 15:00,0
10.04. 16:00,0
10.04. 17:00,0
10.04. 18:00,48.467
10.04. 19:00,73.367
10.04. 20:00,73.332
10.04. 21:00,31.734
10.04. 22:00,8.0464
10.04. 23:00,7.7064
11.04. 00:00,7.5975
11.04. 01:00,7.5772
11.04. 02:00,7.5598
11.04. 03:00,7.553
11.04. 04:00,8.0639
11.04. 05:00,8.0636
11.04. 06:00,46.8306
11.04. 07:00,73.404
11.04. 08:00,0
11.04. 09:00,33.005
11.04. 10:00,33.011
11.04. 11:00,10.236
11.04. 12:00,0
11.04. 13:00,0
11.04. 14:00,0
11.04. 15:00,0
11.04. 16:00,0
11.04. 17:00,0
11.04. 18:00,20.299
11.04. 19:00,73.376
11.04. 20:00,73.346
11.04. 21:00,54.301
11.04. 22:00,0
11.04. 23:00,0
12.04. 00:00,0
12.04. 01:00,0
12.04. 02:00,0
12.04. 03:00,0
12.04. 04:00,0
12.04. 05:00,0
12.04. 06:00,73.4017
12.04. 07:00,117.41
12.04. 08:00,44.004
12.04. 09:00,99.011
12.04. 10:00,55.011
12.04. 11:00,32.237
12.04. 12:00,22.002
12.04. 13:00,22.003
12.04. 14:00,0
12.04. 15:00,0
12.04. 16:00,0
12.04. 17:00,0
12.04. 18:00,73.387
12.04. 19:00,73.365
12.04. 20:00,73.352
12.04. 21:00,49.485
12.04. 22:00,13.086
12.04. 23:00,7.8881
13.04. 00:00,7.5621
13.04. 01:00,7.5543
13.04. 02:00,7.5535
13.04. 03:00,7.5527
13.04. 04:00,8.0637
13.04. 05:00,8.0635
13.04. 06:00,65.02122
13.04. 07:00,73.405
13.04. 08:00,0
13.04. 09:00,33.005
13.04. 10:00,33.011
13.04. 11:00,10.236
13.04. 12:00,0
13.04. 13:00,0
13.04. 14:00,0
13.04. 15:00,0
13.04. 16:00,0
13.04. 17:00,0
13.04. 18:00,26.476
13.04. 19:00,73.36
13.04. 20:00,73.401
13.04. 21:00,55.346
13.04. 22:00,0
13.04. 23:00,0
14.04. 00:00,0
14.04. 01:00,0
14.04. 02:00,0
14.04. 03:00,0
14.04. 04:00,0
14.04. 05:00,0
14.04. 06:00,38.26229
14.04. 07:00,73.403
14.04. 08:00,73.405
14.04. 09:00,73.407
14.04. 10:00,0
14.04. 11:00,0
14.04. 12:00,0
14.04. 13:00,0
14.04. 14:00,0
14.04. 15:00,0
14.04. 16:00,0
14.04. 17:00,0
14.04. 18:00,0
14.04. 19:00,0
14.04. 20:00,0
14.04. 21:00,0
14.04. 22:00,0
14.04. 23:00,0
15.04. 00:00,0
15.04. 01:00,0
15.04. 02:00,0
15.04. 03:00,0
15.04. 04:00,0
15.04. 05:00,0
15.04. 06:00,0
15.04. 07:00,0
15.04. 08:00,0
15.04. 09:00,0
15.04. 10:00,0
15.04. 11:00,0
15.04. 12:00,0
15.04. 13:00,0
15.04. 14:00,0
15.04. 15:00,0
15.04. 16:00,0
15.04. 17:00,0
15.04. 18:00,0
15.04. 19:00,0
15.04. 20:00,0
15.04. 21:00,0
15.04. 22:00,0
15.04. 23:00,0
16.04. 00:00,0
16.04. 01:00,0
16.04. 02:00,0
16.04. 03:00,0
16.04. 04:00,0
16.04. 05:00,0
16.04. 06:00,0
16.04. 07:00,44.002
16.04. 08:00,44.004
16.04. 09:00,77.01
16.04. 10:00,33.011
16.04. 11:00,10.236
16.04. 12:00,0
16.04. 13:00,0
16.04. 14:00,0
16.04. 15:00,0
16.04. 16:00,0
16.04. 17:00,0
16.04. 18:00,0
16.04. 19:00,73.33922
16.04. 20:00,73.401
16.04. 21:00,54.99
16.04. 22:00,0
16.04. 23:00,0
17.04. 00:00,0
17.04. 01:00,0
17.04. 02:00,0
17.04. 03:00,0
17.04. 04:00,0
17.04. 05:00,0
17.04. 06:00,73.404
17.04. 07:00,73.405
17.04. 08:00,0
17.04. 09:00,55.005
17.04. 10:00,55.011
17.04. 11:00,32.237
17.04. 12:00,22.002
17.04. 13:00,22.003
17.04. 14:00,0
17.04. 15:00,0
17.04. 16:00,0
17.04. 17:00,0
17.04. 18:00,0
17.04. 19:00,73.364
17.04. 20:00,73.353
17.04. 21:00,54.348
17.04. 22:00,0
17.04. 23:00,0
18.04. 00:00,0
18.04. 01:00,0
18.04. 02:00,0
18.04. 03:00,0
18.04. 04:00,0
18.04. 05:00,0
18.04. 06:00,63.488
18.04. 07:00,117.41
18.04. 08:00,44.003
18.04. 09:00,77.01
18.04. 10:00,52.357
18.04. 11:00,10.236
18.04. 12:00,0
18.04. 13:00,0
18.04. 14:00,0
18.04. 15:00,0
18.04. 16:00,0
18.04. 17:00,0
18.04. 18:00,20.1101
18.04. 19:00,73.376
18.04. 20:00,73.37
18.04. 21:00,49.189
18.04. 22:00,12.997
18.04. 23:00,7.8265
19.04. 00:00,7.6214
19.04. 01:00,7.5753
19.04. 02:00,7.557
19.04. 03:00,7.5543
19.04. 04:00,7.5535
19.04. 05:00,7.5532
19.04. 06:00,18.0744
19.04. 07:00,73.403
19.04. 08:00,0
19.04. 09:00,54.983
19.04. 10:00,55.011
19.04. 11:00,32.237
19.04. 12:00,22.002
19.04. 13:00,22.003
19.04. 14:00,0
19.04. 15:00,0
19.04. 16:00,0
19.04. 17:00,0
19.04. 18:00,73.389
19.04. 19:00,73.36876
19.04. 20:00,73.357
19.04. 21:00,54.908
19.04. 22:00,0
19.04. 23:00,0
20.04. 00:00,0
20.04. 01:00,0
20.04. 02:00,0
20.04. 03:00,0
20.04. 04:00,0
20.04. 05:00,0
20.04. 06:00,72.2904
20.04. 07:00,117.41
20.04. 08:00,44.004
20.04. 09:00,77.01
20.04. 10:00,33.011
20.04. 11:00,10.236
20.04. 12:00,0
20.04. 13:00,0
20.04. 14:00,0
20.04. 15:00,0
20.04. 16:00,0
20.04. 17:00,0
20.04. 18:00,60.51
20.04. 19:00,73.36415
20.04. 20:00,73.349
20.04. 21:00,38.848
20.04. 22:00,10.075
20.04. 23:00,8.2363
21.04. 00:00,7.7211
21.04. 01:00,7.6049
21.04. 02:00,7.5589
21.04. 03:00,7.5553
21.04. 04:00,7.553
21.04. 05:00,7.5528
21.04. 06:00,58.27441
21.04. 07:00,73.404
21.04. 08:00,73.406
21.04. 09:00,31.988
21.04. 10:00,0
21.04. 11:00,0
21.04. 12:00,0
21.04. 13:00,0
21.04. 14:00,0
21.04. 15:00,0
21.04. 16:00,0
21.04. 17:00,0
21.04. 18:00,15.601
21.04. 19:00,0
21.04. 20:00,0
21.04. 21:00,0
21.04. 22:00,0
21.04. 23:00,0
22.04. 00:00,0
22.04. 01:00,0
22.04. 02:00,0
22.04. 03:00,0
22.04. 04:00,0
22.04. 05:00,0
22.04. 06:00,0
22.04. 07:00,0
22.04. 08:00,0
22.04. 09:00,0
22.04. 10:00,0
22.04. 11:00,0
22.04. 12:00,0
22.04. 13:00,0
22.04. 14:00,0
22.04. 15:00,0
22.04. 16:00,0
22.04. 17:00,0
22.04. 18:00,0
22.04. 19:00,0
22.04. 20:00,0
22.04. 21:00,0
22.04. 22:00,0
22.04. 23:00,0
23.04. 00:00,0
23.04. 01:00,0
23.04. 02:00,0
23.04. 03:00,0
23.04. 04:00,0
23.04. 05:00,0
23.04. 06:00,0
23.04. 07:00,0
23.04. 08:00,0
23.04. 09:00,33.005
23.04. 10:00,33.011
23.04. 11:00,10.236
23.04. 12:00,0
23.04. 13:00,0
23.04. 14:00,0
23.04. 15:00,0
23.04. 16:00,0
23.04. 17:00,0
23.04. 18:00,0
23.04. 19:00,73.32957
23.04. 20:00,73.402
23.04. 21:00,57.967
23.04. 22:00,0
23.04. 23:00,0
24.04. 00:00,0
24.04. 01:00,0
24.04. 02:00,0
24.04. 03:00,0
24.04. 04:00,0
24.04. 05:00,6.8982
24.04. 06:00,73.404
24.04. 07:00,117.41
24.04. 08:00,44.004
24.04. 09:00,98.989
24.04. 10:00,55.011
24.04. 11:00,32.237
24.04. 12:00,22.002
24.04. 13:00,22.002
24.04. 14:00,8.2165
24.04. 15:00,0
24.04. 16:00,0
24.04. 17:00,0
24.04. 18:00,9.0123
24.04. 19:00,73.3501
24.04. 20:00,73.401
24.04. 21:00,56.038
24.04. 22:00,0
24.04. 23:00,0
25.04. 00:00,0
25.04. 01:00,0
25.04. 02:00,0
25.04. 03:00,0
25.04. 04:00,0
25.04. 05:00,6.8987
25.04. 06:00,73.403
25.04. 07:00,73.405
25.04. 08:00,0
25.04. 09:00,33.005
25.04. 10:00,33.011
25.04. 11:00,10.236
25.04. 12:00,0
25.04. 13:00,0
25.04. 14:00,0
25.04. 15:00,0
25.04. 16:00,0
25.04. 17:00,0
25.04. 18:00,52.886
25.04. 19:00,73.3676
25.04. 20:00,73.401
25.04. 21:00,61.008
25.04. 22:00,0
25.04. 23:00,0
26.04. 00:00,0
26.04. 01:00,0
26.04. 02:00,0
26.04. 03:00,0
26.04. 04:00,0
26.04. 05:00,0
26.04. 06:00,60.70878
26.04. 07:00,117.41
26.04. 08:00,44.003
26.04. 09:00,99.01
26.04. 10:00,74.358
26.04. 11:00,32.237
26.04. 12:00,22.002
26.04. 13:00,22.003
26.04. 14:00,0
26.04. 15:00,0
26.04. 16:00,0
26.04. 17:00,0
26.04. 18:00,42.867
26.04. 19:00,73.37446
26.04. 20:00,73.35
26.04. 21:00,54.943
26.04. 22:00,0
26.04. 23:00,0
27.04. 00:00,0
27.04. 01:00,0
27.04. 02:00,0
27.04. 03:00,0
27.04. 04:00,0
27.04. 05:00,0
27.04. 06:00,73.403
27.04. 07:00,73.405
27.04. 08:00,0
27.04. 09:00,33.005
27.04. 10:00,33.011
27.04. 11:00,10.236
27.04. 12:00,0
27.04. 13:00,0
27.04. 14:00,0
27.04. 15:00,0
27.04. 16:00,0
27.04. 17:00,0
27.04. 18:00,63.453
27.04. 19:00,73.36928
27.04. 20:00,73.401
27.04. 21:00,56.484
27.04. 22:00,0
27.04. 23:00,0
28.04. 00:00,0
28.04. 01:00,0
28.04. 02:00,0
28.04. 03:00,0
28.04. 04:00,0
28.04. 05:00,6.8987
28.04. 06:00,73.403
28.04. 07:00,73.405
28.04. 08:00,64.842
28.04. 09:00,42.917
28.04. 10:00,0
28.04. 11:00,0
28.04. 12:00,0
28.04. 13:00,0
28.04. 14:00,0
28.04. 15:00,0
28.04. 16:00,0
28.04. 17:00,0
28.04. 18:00,0
28.04. 19:00,0
28.04. 20:00,0
28.04. 21:00,0
28.04. 22:00,0
28.04. 23:00,0
29.04. 00:00,0
29.04. 01:00,0
29.04. 02:00,0
29.04. 03:00,0
29.04. 04:00,0
29.04. 05:00,0
29.04. 06:00,0
29.04. 07:00,0
29.04. 08:00,0
29.04. 09:00,0
29.04. 10:00,0
29.04. 11:00,0
29.04. 12:00,0
29.04. 13:00,0
29.04. 14:00,0
29.04. 15:00,0
29.04. 16:00,0
29.04. 17:00,0
29.04. 18:00,0
29.04. 19:00,0
29.04. 20:00,0
29.04. 21:00,0
29.04. 22:00,0
29.04. 23:00,0
30.04. 00:00,0
30.04. 01:00,0
30.04. 02:00,0
30.04. 03:00,0
30.04. 04:00,0
30.04. 05:00,0
30.04. 06:00,0
30.04. 07:00,44.002
30.04. 08:00,44.004
30.04. 09:00,77.01
30.04. 10:00,33.011
30.04. 11:00,10.236
30.04. 12:00,0
30.04. 13:00,0
30.04. 14:00,0
30.04. 15:00,0
30.04. 16:00,0
30.04. 17:00,0
30.04. 18:00,0
30.04. 19:00,73.3479
30.04. 20:00,73.402
30.04. 21:00,58.822
30.04. 22:00,0
30.04. 23:00,0
01.05. 00:00,0
01.05. 01:00,0
01.05. 02:00,0
01.05. 03:00,0
01.05. 04:00,0
01.05. 05:00,13.9769
01.05. 06:00,73.404
01.05. 07:00,73.406
01.05. 08:00,0
01.05. 09:00,55.005
01.05. 10:00,55.011
01.05. 11:00,32.237
01.05. 12:00,22.002
01.05. 13:00,22.003
01.05. 14:00,0
01.05. 15:00,0
01.05. 16:00,0
01.05. 17:00,0
01.05. 18:00,0
01.05. 19:00,73.352
01.05. 20:00,73.401
01.05. 21:00,54.307
01.05. 22:00,0
01.05. 23:00,0
02.05. 00:00,0
02.05. 01:00,0
02.05. 02:00,0
02.05. 03:00,0
02.05. 04:00,0
02.05. 05:00,22.876
02.05. 06:00,73.404
02.05. 07:00,117.41
02.05. 08:00,44.004
02.05. 09:00,77.01
02.05. 10:00,33.011
02.05. 11:00,10.236
02.05. 12:00,0
02.05. 13:00,0
02.05. 14:00,0
02.05. 15:00,0
02.05. 16:00,0
02.05. 17:00,0
02.05. 18:00,44.132
02.05. 19:00,73.36706
02.05. 20:00,73.401
02.05. 21:00,55.095
02.05. 22:00,0
02.05. 23:00,0
03.05. 00:00,0
03.05. 01:00,0
03.05. 02:00,0
03.05. 03:00,0
03.05. 04:00,0
03.05. 05:00,21.10404
03.05. 06:00,73.404
03.05. 07:00,73.405
03.05. 08:00,0
03.05. 09:00,55.005
03.05. 10:00,55.011
03.05. 11:00,32.237
03.05. 12:00,22.002
03.05. 13:00,22.003
03.05. 14:00,0
03.05. 15:00,0
03.05. 16:00,0
03.05. 17:00,0
03.05. 18:00,19.281
03.05. 19:00,73.35569
03.05. 20:00,73.347
03.05. 21:00,56.6
03.05. 22:00,0
03.05. 23:00,0
04.05. 00:00,0
04.05. 01:00,0
04.05. 02:00,0
04.05. 03:00,0
04.05. 04:00,0
04.05. 05:00,21.6635
04.05. 06:00,73.403
04.05. 07:00,117.41
04.05. 08:00,44.003
04.05. 09:00,77.01
04.05. 10:00,52.357
04.05. 11:00,10.236
04.05. 12:00,0
04.05. 13:00,0
04.05. 14:00,0
04.05. 15:00,0
04.05. 16:00,0
04.05. 17:00,0
04.05. 18:00,43.603
04.05. 19:00,73.3713
04.05. 20:00,73.401
04.05. 21:00,58.514
04.05. 22:00,0
04.05. 23:00,0
05.05. 00:00,0
05.05. 01:00,0
05.05. 02:00,0
05.05. 03:00,0
05.05. 04:00,0
05.05. 05:00,18.7581
05.05. 06:00,73.404
05.05. 07:00,73.405
05.05. 08:00,55.004
05.05. 09:00,40.747
05.05. 10:00,0
05.05. 11:00,0
05.05. 12:00,0
05.05. 13:00,0
05.05. 14:00,0
05.05. 15:00,0
05.05. 16:00,0
05.05. 17:00,0
05.05. 18:00,0
05.05. 19:00,0
05.05. 20:00,0
05.05. 21:00,0
05.05. 22:00,0
05.05. 23:00,0
06.05. 00:00,0
06.05. 01:00,0
06.05. 02:00,0
06.05. 03:00,0
06.05. 04:00,0
06.05. 05:00,0
06.05. 06:00,0
06.05. 07:00,0
06.05. 08:00,0
06.05. 09:00,0
06.05. 10:00,0
06.05. 11:00,0
06.05. 12:00,0
06.05. 13:00,0
06.05. 14:00,0
06.05. 15:00,0
06.05. 16:00,0
06.05. 17:00,0
06.05. 18:00,0
06.05. 19:00,0
06.05. 20:00,0
06.05. 21:00,0
06.05. 22:00,0
06.05. 23:00,0
07.05. 00:00,0
07.05. 01:00,0
07.05. 02:00,0
07.05. 03:00,0
07.05. 04:00,0
07.05. 05:00,0
07.05. 06:00,0
07.05. 07:00,0
07.05. 08:00,0
07.05. 09:00,33.005
07.05. 10:00,33.011
07.05. 11:00,10.236
07.05. 12:00,0
07.05. 13:00,0
07.05. 14:00,0
07.05. 15:00,0
07.05. 16:00,0
07.05. 17:00,0
07.05. 18:00,0
07.05. 19:00,73.3301
07.05. 20:00,73.402
07.05. 21:00,60.367
07.05. 22:00,0
07.05. 23:00,0
08.05. 00:00,0
08.05. 01:00,0
08.05. 02:00,0
08.05. 03:00,0
08.05. 04:00,0
08.05. 05:00,7.7658
08.05. 06:00,73.404
08.05. 07:00,117.41
08.05. 08:00,44.004
08.05. 09:00,99.011
08.05. 10:00,55.011
08.05. 11:00,32.237
08.05. 12:00,22.002
08.05. 13:00,22.003
08.05. 14:00,0
08.05. 15:00,0
08.05. 16:00,0
08.05. 17:00,0
08.05. 18:00,0
08.05. 19:00,73.354
08.05. 20:00,73.401
08.05. 21:00,54.283
08.05. 22:00,0
08.05. 23:00,0
09.05. 00:00,0
09.05. 01:00,0
09.05. 02:00,0
09.05. 03:00,0
09.05. 04:00,0
09.05. 05:00,20.92989
09.05. 06:00,73.403
09.05. 07:00,73.405
09.05. 08:00,0
09.05. 09:00,33.005
09.05. 10:00,33.011
09.05. 11:00,10.236
09.05. 12:00,0
09.05. 13:00,0
09.05. 14:00,0
09.05. 15:00,0
09.05. 16:00,0
09.05. 17:00,0
09.05. 18:00,45.73
09.05. 19:00,25.2886
09.05. 20:00,73.359
09.05. 21:00,73.402
09.05. 22:00,33.708
09.05. 23:00,8.6895
10.05. 00:00,7.6941
10.05. 01:00,7.567
10.05. 02:00,7.5576
10.05. 03:00,7.5552
10.05. 04:00,7.5544
10.05. 05:00,17.8881
10.05. 06:00,73.404
10.05. 07:00,117.41
10.05. 08:00,44.004
10.05. 09:00,99.01
10.05. 10:00,55.011
10.05. 11:00,32.237
10.05. 12:00,22.002
10.05. 13:00,22.003
10.05. 14:00,0
10.05. 15:00,0
10.05. 16:00,0
10.05. 17:00,0
10.05. 18:00,0
10.05. 19:00,25.2846
10.05. 20:00,73.364
10.05. 21:00,73.402
10.05. 22:00,34.921
10.05. 23:00,9.0381
11.05. 00:00,8.0231
11.05. 01:00,7.543
11.05. 02:00,8.0397
11.05. 03:00,8.0395
11.05. 04:00,8.0392
11.05. 05:00,43.15567
11.05. 06:00,73.405
11.05. 07:00,65.977
11.05. 08:00,0
11.05. 09:00,33.005
11.05. 10:00,33.011
11.05. 11:00,10.236
11.05. 12:00,0
11.05. 13:00,0
11.05. 14:00,0
11.05. 15:00,0
11.05. 16:00,0
11.05. 17:00,0
11.05. 18:00,48.423
11.05. 19:00,73.4013
11.05. 20:00,73.402
11.05. 21:00,66.879
11.05. 22:00,0
11.05. 23:00,7.3715
12.05. 00:00,7.3712
12.05. 01:00,7.371
12.05. 02:00,7.3708
12.05. 03:00,7.3705
12.05. 04:00,0
12.05. 05:00,43.02688
12.05. 06:00,73.407
12.05. 07:00,24.106
12.05. 08:00,0
12.05. 09:00,0
12.05. 10:00,0
12.05. 11:00,0
12.05. 12:00,0
12.05. 13:00,0
12.05. 14:00,0
12.05. 15:00,0
12.05. 16:00,0
12.05. 17:00,0
12.05. 18:00,0
12.05. 19:00,0
12.05. 20:00,0
12.05. 21:00,0
12.05. 22:00,0
12.05. 23:00,0
13.05. 00:00,0
13.05. 01:00,0
13.05. 02:00,0
13.05. 03:00,0
13.05. 04:00,0
13.05. 05:00,0
13.05. 06:00,0
13.05. 07:00,0
13.05. 08:00,0
13.05. 09:00,0
13.05. 10:00,0
13.05. 11:00,0
13.05. 12:00,0
13.05. 13:00,0
13.05. 14:00,0
13.05. 15:00,0
13.05. 16:00,0
13.05. 17:00,0
13.05. 18:00,0
13.05. 19:00,0
13.05. 20:00,0
13.05. 21:00,0
13.05. 22:00,0
13.05. 23:00,0
14.05. 00:00,0
14.05. 01:00,0
14.05. 02:00,0
14.05. 03:00,0
14.05. 04:00,0
14.05. 05:00,0
14.05. 06:00,0
14.05. 07:00,44.002
14.05. 08:00,44.003
14.05. 09:00,77.01
14.05. 10:00,52.357
14.05. 11:00,10.236
14.05. 12:00,0
14.05. 13:00,0
14.05. 14:00,0
14.05. 15:00,0
14.05. 16:00,0
14.05. 17:00,0
14.05. 18:00,0
14.05. 19:00,25.2883
14.05. 20:00,73.401
14.05. 21:00,73.402
14.05. 22:00,37.47
14.05. 23:00,9.7515
15.05. 00:00,7.981
15.05. 01:00,7.7112
15.05. 02:00,7.6037
15.05. 03:00,7.5579
15.05. 04:00,7.5543
15.05. 05:00,6.8978
15.05. 06:00,73.405
15.05. 07:00,73.407
15.05. 08:00,0
15.05. 09:00,55.005
15.05. 10:00,55.011
15.05. 11:00,32.237
15.05. 12:00,22.002
15.05. 13:00,22.003
15.05. 14:00,0
15.05. 15:00,0
15.05. 16:00,0
15.05. 17:00,0
15.05. 18:00,5.9073
15.05. 19:00,73.34
15.05. 20:00,73.401
15.05. 21:00,54.457
15.05. 22:00,0
15.05. 23:00,0
16.05. 00:00,0
16.05. 01:00,0
16.05. 02:00,0
16.05. 03:00,0
16.05. 04:00,0
16.05. 05:00,47.86981
16.05. 06:00,73.405
16.05. 07:00,117.41
16.05. 08:00,44.004
16.05. 09:00,77.01
16.05. 10:00,33.011
16.05. 11:00,10.236
16.05. 12:00,0
16.05. 13:00,0
16.05. 14:00,0
16.05. 15:00,0
16.05. 16:00,0
16.05. 17:00,0
16.05. 18:00,6.8997
16.05. 19:00,73.34505
16.05. 20:00,73.401
16.05. 21:00,55.371
16.05. 22:00,0
16.05. 23:00,0
17.05. 00:00,0
17.05. 01:00,0
17.05. 02:00,0
17.05. 03:00,0
17.05. 04:00,0
17.05. 05:00,18.6539
17.05. 06:00,73.404
17.05. 07:00,73.405
17.05. 08:00,0
17.05. 09:00,55.005
17.05. 10:00,55.011
17.05. 11:00,32.237
17.05. 12:00,22.002
17.05. 13:00,22.003
17.05. 14:00,0
17.05. 15:00,0
17.05. 16:00,0
17.05. 17:00,0
17.05. 18:00,73.362
17.05. 19:00,60.471
17.05. 20:00,73.402
17.05. 21:00,73.403
17.05. 22:00,70.361
17.05. 23:00,0
18.05. 00:00,6.9101
18.05. 01:00,0
18.05. 02:00,0
18.05. 03:00,0
18.05. 04:00,0
18.05. 05:00,0
18.05. 06:00,49.62761
18.05. 07:00,99.007
18.05. 08:00,44.004
18.05. 09:00,77.01
18.05. 10:00,33.011
18.05. 11:00,10.236
18.05. 12:00,0
18.05. 13:00,0
18.05. 14:00,0
18.05. 15:00,0
18.05. 16:00,0
18.05. 17:00,0
18.05. 18:00,0
18.05. 19:00,60.474
18.05. 20:00,73.387
18.05. 21:00,73.402
18.05. 22:00,69.897
18.05. 23:00,0
19.05. 00:00,0
19.05. 01:00,0
19.05. 02:00,0
19.05. 03:00,0
19.05. 04:00,0
19.05. 05:00,38.44757
19.05. 06:00,73.406
19.05. 07:00,51.589
19.05. 08:00,0
19.05. 09:00,0
19.05. 10:00,0
19.05. 11:00,0
19.05. 12:00,0
19.05. 13:00,0
19.05. 14:00,0
19.05. 15:00,0
19.05. 16:00,0
19.05. 17:00,0
19.05. 18:00,0
19.05. 19:00,0
19.05. 20:00,0
19.05. 21:00,0
19.05. 22:00,0
19.05. 23:00,0
20.05. 00:00,0
20.05. 01:00,0
20.05. 02:00,0
20.05. 03:00,0
20.05. 04:00,0
20.05. 05:00,0
20.05. 06:00,0
20.05. 07:00,0
20.05. 08:00,0
20.05. 09:00,0
20.05. 10:00,0
20.05. 11:00,0
20.05. 12:00,0
20.05. 13:00,0
20.05. 14:00,0
20.05. 15:00,0
20.05. 16:00,0
20.05. 17:00,0
20.05. 18:00,0
20.05. 19:00,0
20.05. 20:00,0
20.05. 21:00,0
20.05. 22:00,0
20.05. 23:00,0
21.05. 00:00,0
21.05. 01:00,0
21.05. 02:00,0
21.05. 03:00,0
21.05. 04:00,0
21.05. 05:00,0
21.05. 06:00,0
21.05. 07:00,0
21.05. 08:00,0
21.05. 09:00,33.005
21.05. 10:00,33.011
21.05. 11:00,10.236
21.05. 12:00,0
21.05. 13:00,0
21.05. 14:00,0
21.05. 15:00,0
21.05. 16:00,0
21.05. 17:00,0
21.05. 18:00,0
21.05. 19:00,25.2839
21.05. 20:00,73.401
21.05. 21:00,73.402
21.05. 22:00,37.553
21.05. 23:00,9.7755
22.05. 00:00,8.0023
22.05. 01:00,7.732
22.05. 02:00,7.6242
22.05. 03:00,7.5783
22.05. 04:00,7.55979
22.05. 05:00,64.18714
22.05. 06:00,73.407
22.05. 07:00,77.816
22.05. 08:00,44.003
22.05. 09:00,98.988
22.05. 10:00,74.357
22.05. 11:00,32.325
22.05. 12:00,22.002
22.05. 13:00,14.349
22.05. 14:00,15.825
22.05. 15:00,0
22.05. 16:00,0
22.05. 17:00,0
22.05. 18:00,0
22.05. 19:00,73.33083
22.05. 20:00,73.402
22.05. 21:00,54.448
22.05. 22:00,0
22.05. 23:00,0
23.05. 00:00,0
23.05. 01:00,0
23.05. 02:00,0
23.05. 03:00,0
23.05. 04:00,0
23.05. 05:00,18.0226
23.05. 06:00,73.404
23.05. 07:00,73.406
23.05. 08:00,0
23.05. 09:00,33.005
23.05. 10:00,33.011
23.05. 11:00,10.236
23.05. 12:00,0
23.05. 13:00,0
23.05. 14:00,0
23.05. 15:00,0
23.05. 16:00,0
23.05. 17:00,0
23.05. 18:00,18.386
23.05. 19:00,73.367
23.05. 20:00,73.401
23.05. 21:00,73.403
23.05. 22:00,22.077
23.05. 23:00,8.6505
24.05. 00:00,7.6371
24.05. 01:00,7.5677
24.05. 02:00,7.56
24.05. 03:00,7.5536
24.05. 04:00,7.5531
24.05. 05:00,73.405
24.05. 06:00,64.449
24.05. 07:00,75.352
24.05. 08:00,44.004
24.05. 09:00,99.011
24.05. 10:00,55.011
24.05. 11:00,32.237
24.05. 12:00,22.002
